# Essai thermique - montee en temperature puis palier - 2 capteurs
time_s,capteur_A_C,capteur_B_C
0.0,21.031,22.007
1.0,24.815,24.913
2.0,27.428,27.450
3.0,30.682,30.447
4.0,33.849,32.683
5.0,36.740,34.931
6.0,39.108,37.404
7.0,42.002,39.473
8.0,43.877,41.240
9.0,46.354,43.332
10.0,48.366,44.800
11.0,50.525,46.746
12.0,51.947,49.154
13.0,53.583,50.424
14.0,55.615,51.683
15.0,57.521,53.895
16.0,58.196,54.405
17.0,60.313,55.776
18.0,61.359,57.472
19.0,62.901,58.572
20.0,63.955,59.554
21.0,65.393,60.734
22.0,66.232,61.772
23.0,67.193,62.869
24.0,68.089,63.562
25.0,69.241,65.193
26.0,69.965,65.848
27.0,70.929,66.726
28.0,71.567,67.292
29.0,72.437,67.993
30.0,72.668,68.688
31.0,73.093,69.354
32.0,74.286,70.370
33.0,74.806,70.891
34.0,75.321,70.890
35.0,75.491,71.463
36.0,75.997,72.474
37.0,76.755,72.960
38.0,77.268,73.584
39.0,77.933,73.536
40.0,77.996,74.007
41.0,78.034,74.786
42.0,79.091,74.978
43.0,79.006,75.686
44.0,78.860,75.772
45.0,79.782,75.891
46.0,80.378,76.681
47.0,80.234,76.675
48.0,80.456,76.845
49.0,80.466,77.695
50.0,81.278,77.791
51.0,80.962,78.432
52.0,81.934,78.109
53.0,81.406,78.026
54.0,81.918,78.235
55.0,81.977,79.047
56.0,81.772,79.524
57.0,82.694,78.743
58.0,82.095,79.213
59.0,82.329,79.393
60.0,82.072,79.570
61.0,83.291,79.462
62.0,82.889,79.501
63.0,83.227,80.025
64.0,83.657,80.291
65.0,83.178,80.525
66.0,83.238,80.083
67.0,83.528,80.551
68.0,83.578,80.829
69.0,83.488,80.950
70.0,84.124,80.594
71.0,84.195,80.951
72.0,83.636,81.846
73.0,83.930,81.617
74.0,84.155,80.787
75.0,84.038,81.214
76.0,83.726,80.917
77.0,84.138,81.699
78.0,84.258,81.499
79.0,84.006,81.362
80.0,84.110,81.411
81.0,84.238,81.774
82.0,84.103,81.769
83.0,84.174,81.892
84.0,84.525,81.999
85.0,84.549,81.500
86.0,84.367,82.126
87.0,84.651,81.609
88.0,84.558,82.493
89.0,84.499,82.143
90.0,84.681,82.285
