# Essai vibratoire - poutre encastree - acquisition accelerometre triaxial
# Echantillonnage : 50 Hz - duree 3 s
temps_s;acc_x_g;acc_y_g;acc_z_g
0,00;-0,0029;0,5170;-0,0011
0,02;0,6412;0,5828;0,1260
0,04;1,0395;0,4647;0,0712
0,06;1,1068;0,2192;-0,0843
0,08;0,8498;-0,0889;-0,1271
0,10;0,3070;-0,3506;0,0420
0,12;-0,2560;-0,4990;0,1343
0,14;-0,7634;-0,4869;0,0446
0,16;-0,9476;-0,3246;-0,0982
0,18;-0,8860;-0,0583;-0,1020
0,20;-0,5380;0,1673;0,0235
0,22;-0,0694;0,3659;0,1211
0,24;0,4416;0,4261;0,0196
0,26;0,7397;0,3695;-0,1040
0,28;0,8462;0,2003;-0,0568
0,30;0,6742;-0,0334;0,0680
0,32;0,2836;-0,2606;0,0883
0,34;-0,1370;-0,3742;0,0117
0,36;-0,5402;-0,3890;-0,0869
0,38;-0,6944;-0,2535;-0,0298
0,40;-0,6637;-0,0771;0,0559
0,42;-0,4631;0,1380;0,0583
0,44;-0,0861;0,2795;-0,0320
0,46;0,3020;0,3452;-0,0610
0,48;0,5685;0,2827;-0,0221
0,50;0,6257;0,1749;0,0659
0,52;0,5275;-0,0019;0,0456
0,54;0,2543;-0,2020;-0,0513
0,56;-0,0860;-0,2684;-0,0595
0,58;-0,3708;-0,2826;0,0030
0,60;-0,5174;-0,1972;0,0714
0,62;-0,5557;-0,0608;0,0382
0,64;-0,3446;0,0775;-0,0278
0,66;-0,1057;0,2229;-0,0563
0,68;0,1785;0,2368;0,0137
0,70;0,4332;0,2407;0,0694
0,72;0,4394;0,1457;0,0237
0,74;0,4060;-0,0044;-0,0500
0,76;0,2581;-0,1360;-0,0476
0,78;-0,0012;-0,2094;0,0214
0,80;-0,2575;-0,2381;0,0564
0,82;-0,4245;-0,1554;0,0044
0,84;-0,3668;-0,0648;-0,0356
0,86;-0,3246;0,0449;-0,0266
0,88;-0,0644;0,1175;0,0412
0,90;0,1322;0,2135;0,0518
0,92;0,2938;0,1702;-0,0190
0,94;0,3716;0,1092;-0,0257
0,96;0,3148;0,0199;-0,0334
0,98;0,1810;-0,0777;0,0427
1,00;0,0290;-0,1495;0,0236
1,02;-0,1705;-0,1598;-0,0098
1,04;-0,3099;-0,1173;-0,0398
1,06;-0,3025;-0,0427;-0,0011
1,08;-0,2340;0,0582;0,0374
1,10;-0,0997;0,1032;0,0399
1,12;0,0760;0,1503;-0,0083
1,14;0,2001;0,1122;-0,0314
1,16;0,2811;0,0828;0,0100
1,18;0,2674;0,0051;0,0386
1,20;0,1535;-0,0767;0,0207
1,22;0,0155;-0,1199;-0,0181
1,24;-0,1129;-0,1360;-0,0235
1,26;-0,1974;-0,1169;0,0117
1,28;-0,2417;-0,0199;0,0117
1,30;-0,1773;0,0078;0,0072
1,32;-0,0468;0,0714;-0,0021
1,34;0,0333;0,1114;-0,0255
1,36;0,1363;0,1077;0,0098
1,38;0,2111;0,0432;0,0462
1,40;0,1950;0,0478;-0,0084
1,42;0,1355;0,0120;-0,0327
1,44;-0,0050;-0,0872;-0,0093
1,46;-0,0685;-0,0770;0,0130
1,48;-0,1914;-0,0901;0,0339
1,50;-0,1747;-0,0754;-0,0039
1,52;-0,1236;0,0357;-0,0167
1,54;-0,0683;0,0313;-0,0166
1,56;0,0223;0,0862;0,0227
1,58;0,0966;0,0648;0,0088
1,60;0,1313;0,0700;-0,0306
1,62;0,1468;0,0280;-0,0045
1,64;0,1072;-0,0073;-0,0071
1,66;0,0133;-0,0671;0,0324
1,68;-0,0342;-0,0654;0,0452
1,70;-0,1166;-0,0562;-0,0070
1,72;-0,1439;-0,0039;-0,0015
1,74;-0,1475;-0,0074;0,0052
1,76;-0,0484;0,0142;-0,0063
1,78;-0,0300;0,0570;0,0065
1,80;0,0812;0,0513;-0,0238
1,82;0,0742;0,0533;-0,0095
1,84;0,1380;0,0316;0,0022
1,86;0,1125;-0,0154;0,0081
1,88;0,0180;-0,0497;-0,0179
1,90;-0,0314;-0,0508;-0,0156
1,92;-0,0982;-0,0454;0,0074
1,94;-0,1046;-0,0397;0,0004
1,96;-0,0951;-0,0233;0,0114
1,98;-0,0529;0,0511;0,0100
2,00;0,0207;0,0320;-0,0050
2,02;0,0287;0,0527;-0,0024
2,04;0,0695;0,0685;0,0134
2,06;0,0526;0,0260;0,0062
2,08;0,0687;-0,0004;0,0020
2,10;-0,0139;-0,0465;-0,0031
2,12;0,0049;-0,0123;0,0143
2,14;-0,1014;-0,0280;-0,0108
2,16;-0,0469;-0,0225;-0,0035
2,18;-0,0329;0,0039;-0,0227
2,20;-0,0392;0,0046;-0,0084
